"Artist_Name","Album_Title","Genre","Composer","Track_Name","Track_Price","InvoiceId","Invoice_TrackId","Invoice_Track_Price","SupportRepId","SalesRep_Name","SalesRep_Title","SalesRep_City","SalesRep_State","SalesRep_Country","CustomerId","Customer_Name","Customer_City","Customer_State","Customer_Country"
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Breaking The Rules,0.99,2,12,0.99,4,Margaret Park,Sales Support Agent,Calgary,AB,Canada,4,Bjørn Hansen,Oslo,,Norway
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",C.O.D.,0.99,,,,,,,,,,,,,,
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Evil Walks,0.99,2,10,0.99,4,Margaret Park,Sales Support Agent,Calgary,AB,Canada,4,Bjørn Hansen,Oslo,,Norway
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock (We Salute You),0.99,108,1,0.99,5,Steve Johnson,Sales Support Agent,Calgary,AB,Canada,47,Lucas Mancini,Rome,RM,Italy
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Inject The Venom,0.99,2,8,0.99,4,Margaret Park,Sales Support Agent,Calgary,AB,Canada,4,Bjørn Hansen,Oslo,,Norway
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Inject The Venom,0.99,214,8,0.99,3,Jane Peacock,Sales Support Agent,Calgary,AB,Canada,33,Ellie Sullivan,Yellowknife,NT,Canada
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Let's Get It Up,0.99,,,,,,,,,,,,,,
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Night Of The Long Knives,0.99,108,13,0.99,5,Steve Johnson,Sales Support Agent,Calgary,AB,Canada,47,Lucas Mancini,Rome,RM,Italy
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Put The Finger On You,0.99,2,6,0.99,4,Margaret Park,Sales Support Agent,Calgary,AB,Canada,4,Bjørn Hansen,Oslo,,Norway
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Snowballed,0.99,108,9,0.99,5,Steve Johnson,Sales Support Agent,Calgary,AB,Canada,47,Lucas Mancini,Rome,RM,Italy
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Snowballed,0.99,319,9,0.99,4,Margaret Park,Sales Support Agent,Calgary,AB,Canada,13,Fernanda Ramos,Brasília,DF,Brazil
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Spellbound,0.99,214,14,0.99,3,Jane Peacock,Sales Support Agent,Calgary,AB,Canada,33,Ellie Sullivan,Yellowknife,NT,Canada
AC/DC,Let There Be Rock,Rock,AC/DC,Bad Boy Boogie,0.99,,,,,,,,,,,,,,
AC/DC,Let There Be Rock,Rock,AC/DC,Dog Eat Dog,0.99,3,16,0.99,4,Margaret Park,Sales Support Agent,Calgary,AB,Canada,8,Daan Peeters,Brussels,,Belgium
AC/DC,Let There Be Rock,Rock,AC/DC,Go Down,0.99,319,15,0.99,4,Margaret Park,Sales Support Agent,Calgary,AB,Canada,13,Fernanda Ramos,Brasília,DF,Brazil
